movieName,name,year,rating,genre,image,summary
tt0064247,Don't Drink the Water ,1969,5.7,"Comedy,1970 (Canada)
","https://m.media-amazon.com/images/M/MV5BOTQzOGNkOTUtOWIyNS00OWMwLTljMTgtYzRmM2M1NGJkZmZmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    The Hollander family's European vacation is interrupted when their plane is forced to land in Vulgaria. The Hollanders leave the plane to take pictures which results in accusations of ...
                    "
tt0091920,Seize the Day ,1986,6.0,"Drama,1 May 1987 (USA)
","https://m.media-amazon.com/images/M/MV5BNjMzZmI5OTQtYmM3OS00ZGNmLWFlN2ItZGFmNGRjYjRhMzNmXkEyXkFqcGdeQXVyMTQ4NDY5OTc@._V1_UY268_CR1,0,182,268_AL_.jpg","
                    Tommy Wilhelm is a good honest man who's fallen on hard times after losing his job, but what really gets to Tommy is seeing both his friends and family turning their backs on him one after the other. He tries to seize the day - in vain.
            "
tt0038238,Johnny in the Clouds ,1945,7.3,"Drama,Romance,War,16 June 1945 (UK)
","https://m.media-amazon.com/images/M/MV5BZDc2MjQ3OTQtNjQ3Yy00NjllLTk0NDItNWEzNmU0NTM0YzZjXkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    The wartime daily routine on a British bomber base in southeastern England is revealed through the eyes of newly arrived Flying Officer Peter Penrose (Sir John Mills).
            "
tt0067871,The Toy Box ,1971,4.5,"Horror,Mystery,Sci-Fi,August 1971 (USA)
","https://m.media-amazon.com/images/M/MV5BMDhiYzRjOTItYjU4Mi00MzdkLTk2ZWQtMzgwNjhkMjY0NmJjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTI5NjY3MDU@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    When Ralph persuades his girlfriend Donna to participate in a bizarre party, she discovers the guests are there to perform erotic plays in the presence of a corpse, Ralph's millionaire ...
                    "
tt0093176,Prom Night II ,1987,5.7,"Horror,Thriller,16 October 1987 (USA)
","https://m.media-amazon.com/images/M/MV5BZGFmZjQ0ZTYtNjNkOC00OTAxLTlmMWMtNThmMWRkMTcyODY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    Thirty years after her accidental death at her 1957 senior prom, the tortured spirit of prom queen Mary Lou Maloney returns to seek revenge.
            "
tt0480025,This Is England ,2006,7.7,"Crime,Drama,27 April 2007 (UK)
","https://m.media-amazon.com/images/M/MV5BMmE3OWZhZDYtOTBjMi00NDIwLTg1NWMtMjg0NjJmZWM4MjliL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.
            "
tt0068007,The Young Graduates ,1971,4.4,"Drama,2 June 1971 (USA)
","https://m.media-amazon.com/images/M/MV5BZmZkZGNiMWUtYjk5NS00YTc5LWI4OWEtZDFhM2JlOGE5MWIyXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    Spunky and precocious high school senior Mindy Evans spurns her decent, but frustrated boyfriend Bill and has a fling with hunky married nice guy teacher Jack Thompson. Midy finds out that ...
                    "
tt0122070,The Forest ,1982,3.8,"Horror,Thriller,11 June 1982 (USA)
","https://m.media-amazon.com/images/M/MV5BMjE0OThkMjctZDM3NS00OWE0LTgxOTAtYTA2MjRlYTJiNzI0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    A cannibal hermit living in the woods preys on campers and hikers for his food supply.
            "
tt0159391,Cutting Moments ,1997,5.9,"Short,Drama,Horror,8 November 1997 (USA)
","https://m.media-amazon.com/images/M/MV5BNzkyNzI0Njk2OV5BMl5BanBnXkFtZTcwMDAwODgxMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg","
                    With her quaint suburban existence on the slow road to ruin, Sarah mutilates herself in the bathroom mirror while her husband sits downstairs watching TV.
            "
tt0049477,Manfish ,1956,4.6,"Adventure,February 1956 (USA)
","https://m.media-amazon.com/images/M/MV5BZjU4NDQ5YTgtMDcyYS00Y2I5LTgwN2ItMWRjZWFlMzZjNTRmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    Three deep sea divers get involved in murder while searching for a lost treasure.
            "
